numero_dpe,date_etablissement_dpe,methode_application_dpe,etiquette_dpe,type_batiment,periode_construction,zone_climatique,code_insee_ban,typologie_logement,nombre_niveau_immeuble,nombre_niveau_logement,nombre_appartement,type_energie_principale_chauffage,type_energie_principale_ecs,type_ventilation,conso_5_usages_par_m2_ep,emission_ges_5_usages_par_m2,cout_chauffage,cout_ecs,cout_total_5_usages,surface_habitable_logement,surface_habitable_immeuble
2233E2187255N,2022-09-22,dpe appartement individuel,C,appartement,1989-2000,H2c,33281,,,1,,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,152.2,5.7,330,302,708,48.2,
2293E1743215J,2022-07-29,dpe appartement individuel,C,appartement,1948-1974,H1a,93070,,,1,1,Électricité,Électricité,Ventilation mécanique sur conduit existant avant 2013,166,6,345.7,318.7,750.1,47,1975
2217E1702020A,2022-07-26,dpe appartement individuel,C,appartement,2006-2012,H2b,17299,,,1,1,Électricité,Électricité,VMC SF Hygro B de 2001 à 2012,130.1,4,164.3,323,559.9,39.5,
2237E1580340U,2022-07-11,dpe appartement individuel,B,appartement,1948-1974,H2b,37261,,,5,30,Réseau de Chauffage urbain,Réseau de Chauffage urbain,VMC SF Hygro A après 2012,105.7,6.7,377,159,680,73.3,2158
2274E2810929O,2022-11-24,dpe appartement individuel,D,appartement,1948-1974,H1c,74010,,,1,1,Gaz naturel,Gaz naturel,Ventilation par entrées d'air hautes et basses,201,43,707.3,143.6,934.8,50,
2293E2085148Q,2022-09-13,dpe appartement individuel,D,appartement,1948-1974,H1a,93055,,5,5,13,Gaz naturel,Gaz naturel,VMC SF Hygro A de 2001 à 2012,180.3,36.8,422,176,786,58,821
2271E2411040C,2022-10-16,dpe maison individuelle,C,maison,2013-2021,H1c,71306,,,1,,Électricité,Électricité,VMC SF Hygro A après 2012,149.4,5,1172.4,371.2,1603.5,122,
2239E2340582Y,2022-10-10,dpe appartement généré à partir des données DPE immeuble,E,appartement,1948-1974,H1c,,,4,1,40,Gaz naturel,Électricité,Ventilation par entrées d'air hautes et basses,274.7,53,932.6,340.2,1321.9,66,2460
2238E1866158V,2022-08-18,dpe appartement individuel,C,appartement,1983-1988,H1c,38158,,,1,1,Réseau de Chauffage urbain,Réseau de Chauffage urbain,VMC SF Auto réglable de 1982 à 2000,145.3,9,503.2,130.8,797,67.2,1464
2233E3189262G,2022-12-30,dpe appartement généré à partir des données DPE immeuble,D,appartement,1948-1974,H2c,33281,,4,1,16,Gaz naturel,Gaz naturel,Ventilation naturelle par conduit,172.1,37,842.3,132.9,1073.2,70,968
2217E1673219H,2022-07-22,dpe maison individuelle,F,maison,avant 1948,H2b,17025,,,1,,Électricité,Électricité,Ventilation par ouverture des fenêtres,398.3,15,2568.1,336,2936,101,
2239E2785501F,2022-11-22,dpe appartement individuel,G,appartement,1948-1974,H1c,39097,,,1,1,Fioul domestique,Électricité,VMC SF Auto réglable avant 1982,499.2,137,2615.3,443.6,3208.6,68.9,2129.8
2276E2159883K,2022-09-14,dpe maison individuelle,D,maison,1989-2000,H1a,76355,,2,2,1,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,204.7,7,887,392,1400,77,
2256E2331505M,2022-10-07,dpe appartement individuel,C,appartement,1989-2000,H2a,56206,,4,4,,Gaz naturel,Gaz naturel,VMC SF Auto réglable avant 1982,124.4,23.4,457,172,865,61.5,
2294E2679114N,2022-11-13,dpe appartement individuel,F,appartement,1948-1974,H1a,94016,,,1,1,Gaz naturel,Gaz naturel,Ventilation par ouverture des fenêtres,342.9,75,733,300.7,1091.7,50.3,7757
2232E1793077U,2022-08-05,dpe maison individuelle,D,maison,1948-1974,H2c,32107,,,1,,Gaz naturel,Électricité,Ventilation par ouverture des fenêtres,238.2,44,1696.9,489.3,2305.1,119.8,
2267E2119209R,2022-09-16,dpe appartement individuel,D,appartement,avant 1948,H1b,67482,,,1,1,Électricité,Électricité,VMC SF Hygro A avant 2001,254.1,9,178.5,283.3,499.7,17.8,
2240E2100464R,2022-09-14,dpe maison individuelle,E,maison,avant 1948,H2c,40216,,,2,,Électricité,Électricité,Ventilation par ouverture des fenêtres,302.7,11,3440.1,348,3843.9,174,
2251E3047537Z,2022-12-08,dpe appartement individuel,D,appartement,1983-1988,H1b,51454,,,1,,Gaz naturel,Gaz naturel,VMC SF Hygro A avant 2001,161,32.3,521,201,902,54,
2267E1698137P,2022-07-25,dpe appartement individuel,D,appartement,1989-2000,H1b,67447,,,1,,Électricité,Électricité,VMC SF Hygro A avant 2001,251,9.3,187,251,465,17,
2277E2426958O,2022-10-18,dpe appartement individuel,D,appartement,1975-1977,H1a,77186,,,1,1,Électricité,Électricité,VMC SF Auto réglable avant 1982,202.4,8,1238.4,373.8,1802.5,100,5841
2257E3127937N,2022-12-22,dpe appartement généré à partir des données DPE immeuble,C,appartement,1983-1988,H1b,57160,,4,1,34,Gaz naturel,Gaz naturel,VMC SF Auto réglable de 1982 à 2000,130.9,25,561.6,172.9,954.6,70,2395
2262E3056682D,2022-09-21,dpe immeuble collectif,F,immeuble,1948-1974,H1a,62284,,3,,6,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,357.1,14.3,9713,1750,12009,,387
2257E2790858Y,2022-11-08,dpe appartement généré à partir des données DPE immeuble,C,appartement,1948-1974,H1b,57672,T1,5,1,41,Gaz naturel,Gaz naturel,VMC Basse pression Hygro B,96.7,19.4,348.9,159.9,616.4,54.6,2486
2275E2555080G,2022-10-28,dpe appartement individuel,G,appartement,1948-1974,H1a,75114,,,5,1,Électricité,Électricité,Ventilation par ouverture des fenêtres,613,24,1415.9,249.8,1675.5,31.2,
2236E2119671G,2022-08-09,dpe appartement individuel,D,appartement,avant 1948,H2b,36044,,,1,,Électricité,Électricité,VMC SF Hygro A après 2012,321.2,11.8,148,264,423,11.6,
2257E1562448K,2022-07-08,dpe maison individuelle,D,maison,1975-1977,H1b,57447,,,1,,Gaz naturel,Gaz naturel,VMC SF Auto réglable avant 1982,231.3,48,1346.1,128.2,1745.8,90,
2293E2573554M,2022-11-01,dpe maison individuelle,E,maison,1948-1974,H1a,93048,,,3,,Gaz naturel,Gaz naturel,Ventilation par ouverture des fenêtres,257.9,57,2380.8,137.6,2683.8,140,
2233E2605515L,2022-11-04,dpe maison individuelle,C,maison,2006-2012,H2c,33122,,,1,,Électricité,Électricité,VMC SF Hygro A de 2001 à 2012,119.9,4,650.5,403.7,1455.1,137,
2224E2963592H,2022-12-08,dpe maison individuelle,E,maison,1948-1974,H2c,24443,,,1,,Fioul domestique,Fioul domestique,Ventilation par entrées d'air hautes et basses,293.5,61.8,1624,517,2221,96,
2295E2503257V,2022-10-25,dpe appartement généré à partir des données DPE immeuble,E,appartement,1948-1974,H1a,95598,T3,11,1,66,Réseau de Chauffage urbain,Réseau de Chauffage urbain,VMC SF Auto réglable avant 1982,248.7,52.2,1015.4,198.9,1440.7,68,5030
2204E3198116R,2022-12-13,dpe appartement individuel,D,appartement,1948-1974,H2d,04019,,,2,,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,236.7,9.2,727,309,1114,52,
2237E2213034E,2022-09-26,dpe appartement généré à partir des données DPE immeuble,C,appartement,1948-1974,H2b,37208,,3,1,6,Gaz naturel,Électricité,VMC SF Hygro A après 2012,155.5,26,807.8,404.8,1366.4,80.4,481.6
2278E2974963S,2022-12-07,dpe appartement généré à partir des données DPE immeuble,C,appartement,1983-1988,H1a,78015,T5,3,1,10,Électricité,Électricité,VMC SF Hygro A après 2012,154,6,874.5,396.4,1344.3,98,820
2207E2918385X,2022-12-05,dpe appartement individuel,D,appartement,avant 1948,H2d,07019,,,1,1,Électricité,Électricité,VMC SF Auto réglable avant 1982,221.1,8,868.2,239.9,1211.2,61,
2283E2865377B,2022-11-29,dpe appartement individuel,D,appartement,avant 1948,H3,83071,,,1,,Électricité,Électricité,Ventilation naturelle par conduit,313.7,12.2,359,181,547,16.9,
2233E2987158A,2022-12-08,dpe maison individuelle,D,maison,avant 1948,H2c,33413,,,2,,Électricité,Électricité,Ventilation mécanique sur conduit existant avant 2013,189.4,7.2,495,266,878,50,
2225E1738438A,2022-07-29,dpe maison individuelle,D,maison,2006-2012,H1c,25193,,,2,,Bois – Bûches,Électricité,VMC SF Hygro A de 2001 à 2012,242.9,8,932.5,388.4,1428.4,98,
2256E2117038T,2022-09-15,dpe maison individuelle,D,maison,1948-1974,H2a,56083,,,1,,Bois – Bûches,Électricité,VMC SF Auto réglable après 2012,243.7,8,606,306,984.5,54.4,
2211E1799461N,2022-08-05,dpe maison individuelle,A,maison,2006-2012,H3,11295,,,1,,Bois – Bûches,Électricité,VMC SF Auto réglable de 2001 à 2012,56,1,281.5,212.7,653,138.3,
2269E3062872M,2022-12-08,dpe maison individuelle,E,maison,1989-2000,H1c,69004,,,2,,Électricité,Électricité,VMC SF Hygro A avant 2001,269.5,10.7,1535,373,2006,85.7,
2291E1876079L,2022-08-12,dpe appartement généré à partir des données DPE immeuble,E,appartement,1948-1974,H1a,91570,,13,1,48,Réseau de Chauffage urbain,Réseau de Chauffage urbain,Ventilation par entrées d'air hautes et basses,202.5,53.6,890.1,484.6,1423.4,89,4975
2283E2225605L,2022-09-28,dpe maison individuelle,B,maison,1989-2000,H3,83046,,,1,,Bois – Bûches,Électricité,VMC SF Auto réglable de 1982 à 2000,101.1,3,713,71,981.5,140.7,
2275E2874239P,2022-11-30,dpe appartement individuel,E,appartement,avant 1948,H1a,75117,,,1,1,Électricité,Électricité,Ventilation par ouverture des fenêtres,356,14,565.5,204.1,777.5,23.1,
2264E2493811I,2022-10-21,dpe maison individuelle,A,maison,2006-2012,H2c,64368,,,2,,Électricité,Électricité,VMC Basse pression Hygro B,58.4,2.2,473,124,780,141,
2272E2663316B,2022-11-10,dpe appartement individuel,E,appartement,1983-1988,H2b,72095,,,1,1,Réseau de Chauffage urbain,Gaz naturel,VMC SF Hygro A avant 2001,224.9,52,421.4,576.6,1195.9,68,600
2276E2875509M,2022-11-30,dpe appartement individuel,F,appartement,1948-1974,H1a,76351,,,1,170,Gaz naturel,Gaz naturel,Ventilation naturelle par conduit,384.9,84.6,1081,157,1353,54,8483
2276E1943951I,2022-08-30,dpe appartement individuel,D,appartement,1975-1977,H1a,76540,,,1,1,Gaz naturel,Gaz naturel,VMC SF Auto réglable avant 1982,228.8,46.5,196,267,620,36.8,1993.6
2271E1745409X,2022-07-29,dpe appartement individuel,D,appartement,1948-1974,H1c,71546,,,1,,Propane,Propane,VMC SF Auto réglable de 2001 à 2012,162.8,39.6,1262,240,1723,73.3,
2225E2615132A,2022-11-04,dpe maison individuelle,G,maison,avant 1948,H1c,25586,,,3,,Électricité,Électricité,Ventilation par ouverture des fenêtres,570,23,4137,380,4545,94.6,
2209E1576051T,2022-07-10,dpe maison individuelle,F,maison,avant 1948,H2c,09130,,,3,,Gaz naturel,Gaz naturel,Ventilation par ouverture des fenêtres,362.4,80,2823.7,151.2,3128.3,118.7,
2274E2027214R,2022-09-07,dpe appartement individuel,E,appartement,1948-1974,H1c,74281,,,4,1,Fioul domestique,Électricité,Ventilation par ouverture des fenêtres,268.9,69,1284.6,399.7,1752.7,67.9,1616
2281E2760065N,2022-11-18,dpe appartement individuel,D,appartement,1948-1974,H2c,81004,,,8,16,Gaz naturel,Gaz naturel,Ventilation naturelle par conduit,183.4,33,598,462,1285,78,1250
2254E2706128Z,2022-11-07,dpe appartement individuel,E,appartement,1948-1974,H1b,54430,,,1,,Gaz naturel,Gaz naturel,Ventilation naturelle par conduit,231,50.7,2067,190,2447,139.7,
2231E2571646S,2022-10-19,dpe appartement généré à partir des données DPE immeuble,B,appartement,après 2021,H2c,31555,T1,12,1,565,Réseau de Chauffage urbain,Réseau de Chauffage urbain,VMC SF Hygro B après 2012,102,6.2,43.2,83.4,191,19.9,9477.2
2219E2990578A,2022-12-10,dpe maison individuelle,D,maison,1978-1982,H1c,19005,,,1,,Bois – Bûches,Électricité,VMC DF sans échangeur avant 2013,181.9,6,1636.9,141.1,2136.8,165,
2222E1577502B,2022-07-11,dpe maison individuelle,C,maison,1989-2000,H2a,76276,,,2,,Fioul domestique,Électricité,VMC SF Hygro A après 2012,135.3,24.1,1001,440,1554,140.5,
2285E1618270M,2022-07-15,dpe appartement individuel,D,appartement,2001-2005,H2b,85164,,,2,1,Électricité,Électricité,VMC SF Auto réglable de 2001 à 2012,206,7,442.1,233.4,729.1,36.9,
2269E2459384K,2022-10-20,dpe appartement individuel,C,appartement,1989-2000,H1c,69266,,,1,1,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,153.5,5,331.9,320.7,729.3,49.5,
2294E1771313C,2022-08-03,dpe appartement généré à partir des données DPE immeuble,C,appartement,1948-1974,H1a,94028,,8,1,207,Réseau de Chauffage urbain,Réseau de Chauffage urbain,VMC SF Auto réglable de 2001 à 2012,119.3,7,625.6,2.9,867.2,80,15289.7
2208E2201335C,2022-09-26,dpe appartement individuel,D,appartement,1948-1974,H1b,08105,,,1,1,Gaz naturel,Gaz naturel,Ventilation par entrées d'air hautes et basses,216.2,47,738,365.9,1179.4,85,3536
2254E2931613M,2022-12-06,dpe appartement individuel,E,appartement,1948-1974,H1b,54395,,,1,1,Gaz naturel,Gaz naturel,Ventilation naturelle par conduit,294.3,63,213.9,247.8,503.2,26.7,5348
2276E2693513Q,2022-11-14,dpe appartement généré à partir des données DPE immeuble,C,appartement,1983-1988,H1a,76212,,5,1,45,Réseau de Chauffage urbain,Réseau de Chauffage urbain,VMC SF Hygro B après 2012,95.1,21,160.4,446.3,709.3,88.7,3385.2
2279E3106028S,2022-12-21,dpe appartement individuel,D,appartement,1948-1974,H2b,79191,,,1,1,Gaz naturel,Électricité,VMC SF Auto réglable avant 1982,196.8,29,442.4,333.7,930.9,55.4,559.3
2280E1641312N,2022-07-19,dpe maison individuelle,F,maison,1948-1974,H1a,80832,,,1,,Fioul domestique,Électricité,Ventilation par ouverture des fenêtres,358,74,2226,362.7,2672.2,96.5,
2278E2034899K,2022-09-08,dpe appartement individuel,D,appartement,1989-2000,H1a,78423,,,1,,Électricité,Électricité,VMC SF Hygro B avant  2001,214.1,8,281,281,601,28,
2237E2157983V,2022-09-21,dpe maison individuelle,D,maison,1948-1974,H2b,37122,,,2,,Électricité,Électricité,VMC DF individuelle avec échangeur à partir de 2013,198.3,7.5,1979,414,2492,153,
2261E2889744K,2022-12-01,dpe maison individuelle,E,maison,avant 1948,H1a,61038,,,1,,Fioul domestique,Électricité,Ventilation naturelle par conduit,251.8,62,1213.2,423.3,1703.6,71,
2291E2300119R,2022-10-05,dpe appartement généré à partir des données DPE immeuble,D,appartement,1948-1974,H1a,91687,T3,5,1,50,Réseau de Chauffage urbain,Gaz naturel,VMC SF Auto réglable avant 1982,208.7,43.3,368.2,252.9,739,37,2310
2278E3096574B,2022-11-29,dpe appartement généré à partir des données DPE immeuble,A,appartement,2013-2021,H1a,78123,,3,1,74,Électricité,Électricité,VMC Basse pression Hygro A,51.4,1.8,61.5,135.3,286.4,57.7,4085.2
2292E2897114B,2022-12-01,dpe appartement individuel,E,appartement,1948-1974,H1a,92026,,,1,1,Gaz naturel,Gaz naturel,VMC SF Auto réglable avant 1982,282.7,58,291.2,128.6,498.2,27,7297
2206E2767495K,2022-11-21,dpe appartement individuel,E,appartement,avant 1948,H3,06088,,,1,1,Électricité,Électricité,Ventilation par entrées d'air hautes et basses,306.7,12,429.6,194.3,631.4,20.8,
2274E1654671C,2022-07-20,dpe maison individuelle,C,maison,avant 1948,H1c,74180,,,2,,Électricité,Électricité,Ventilation par ouverture des fenêtres,144.4,5,1074.8,120.8,1280.5,99.2,
2206E2467115I,2022-10-21,dpe appartement généré à partir des données DPE immeuble,C,appartement,1989-2000,H3,06088,T4,6,1,36,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,153.7,5.9,537.5,299.5,935.8,66.1,2332.5
2262E3142934N,2022-12-23,dpe appartement individuel,E,appartement,1948-1974,H1a,62427,,,2,,Gaz naturel,Gaz naturel,VMC SF Auto réglable de 1982 à 2000,269.8,56.6,1038,129,1382,58.4,
2221E1540472U,2022-07-06,dpe appartement individuel,E,appartement,avant 1948,H1c,21231,,,1,1,Gaz naturel,Gaz naturel,Ventilation naturelle par conduit,316.4,68,814.8,147.8,1054.1,37.3,
2267E2879206I,2022-11-25,dpe appartement individuel,C,appartement,1989-2000,H1b,67447,,1,1,1,Électricité,Électricité,Ventilation par ouverture des fenêtres,130.2,5,727,403,1212,103.7,103.7
2268E1557093W,2022-07-07,dpe appartement individuel,D,appartement,1948-1974,H1b,68224,,2,2,,Gaz naturel,Gaz naturel,VMC SF Hygro A de 2001 à 2012,169.1,34.3,614,158,951,56,
2259E2643010O,2022-11-08,dpe appartement généré à partir des données DPE immeuble,D,appartement,1948-1974,H1a,59178,,4,1,47,Gaz naturel,Électricité,VMC SF Auto réglable avant 1982,239.1,38,655.1,430.9,1227.4,67,3683
2272E2425063M,2022-10-17,dpe immeuble collectif,D,immeuble,1948-1974,H2b,72181,,5,,50,Gaz naturel,Gaz naturel,Ventilation naturelle par conduit,139.2,30,18069.5,9699.3,29919.5,,2799
2242E1791259G,2022-08-04,dpe appartement généré à partir des données DPE immeuble,E,appartement,1948-1974,H1c,42304,,5,1,20,Fioul domestique,Fioul domestique,Ventilation hybride avec entrées d'air hygro avant  2001,185.8,57,1458.3,78.1,1666.1,95,1459
2233E3193090M,2022-12-30,dpe appartement individuel,C,appartement,1978-1982,H2c,33122,,,2,1,Gaz naturel,Gaz naturel,VMC SF Hygro B avant  2001,140.4,28,600.3,167.4,961.7,67.6,
2262E1776320L,2022-08-03,dpe appartement généré à partir des données DPE immeuble,D,appartement,1978-1982,H1a,62637,,4,1,12,Gaz naturel,Gaz naturel,Ventilation hybride après 2012,170.4,36,867.3,237.3,1222.5,62.8,725.6
2206E2098335M,2022-09-14,dpe appartement individuel,C,appartement,1989-2000,H3,06025,,,1,,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,177.2,6.8,610,290,1003,62,
2237E2974735J,2022-12-08,dpe appartement généré à partir des données DPE immeuble,D,appartement,1948-1974,H2b,37233,,5,1,10,Réseau de Chauffage urbain,Réseau de Chauffage urbain,VMC SF Auto réglable de 2001 à 2012,189.8,14,897.2,222.9,1277.7,83,783
2211E2564848M,2022-10-29,dpe appartement individuel,B,appartement,1989-2000,H3,11262,,,1,,Électricité,Électricité,VMC Basse pression Hygro A,85.4,3.2,547,426,1183,153.9,
2269E3054881D,2022-12-15,dpe appartement individuel,C,appartement,1948-1974,H1c,69286,,,1,11,Réseau de Chauffage urbain,Électricité,VMC SF Hygro B après 2012,118,10.3,310,403,806,73.1,750
2250E2178882D,2022-08-01,dpe maison individuelle,D,maison,1948-1974,H2a,50129,,2,2,1,Gaz naturel,Gaz naturel,VMC Basse pression Hygro B,209,43,821,242,1285,68,
2225E2364391D,2022-10-11,dpe appartement individuel,D,appartement,1948-1974,H1c,25462,,,1,1,Bois – Granulés (pellets) ou briquettes,Électricité,VMC SF Auto réglable après 2012,207.9,7,639.1,456.9,1152,67.1,
2213E1981890C,2022-09-02,dpe appartement individuel,D,appartement,1948-1974,H3,13205,,,1,1,Électricité,Gaz naturel,Ventilation par entrées d'air hautes et basses,201.3,14,812.8,190.9,1021.4,52.6,
2244E3158748B,2022-12-27,dpe maison individuelle,B,maison,2006-2012,H2b,44035,,,1,,Électricité,Électricité,VMC SF Auto réglable de 2001 à 2012,76.6,2,651.5,150.8,982.9,140,
2259E3148164O,2022-12-26,dpe maison individuelle,F,maison,avant 1948,H1a,59414,,,2,,Gaz naturel,Gaz naturel,Ventilation par entrées d'air hautes et basses,320.5,70.3,1590,154,1886,75.2,
2247E2644385Z,2022-11-08,dpe maison individuelle,C,maison,1989-2000,H2c,47210,,,2,,Gaz naturel,Gaz naturel,VMC SF Auto réglable de 1982 à 2000,146.3,29,869.9,151.6,1300.8,95.3,
2242E2239671W,2022-09-29,dpe appartement individuel,D,appartement,avant 1948,H1c,42223,,,2,1,Gaz naturel,Gaz naturel,Ventilation par ouverture des fenêtres,149.3,32,1172,212.7,1513.1,124,320
2242E2015609C,2022-09-06,dpe maison individuelle,C,maison,1948-1974,H1c,42241,,,1,,Électricité,Électricité,VMC SF Hygro B avant  2001,153,5,1755.5,406.7,2295.7,200,
2275E3237394C,2022-10-31,dpe immeuble collectif,E,immeuble,1989-2000,H1a,75112,T2,12,,143,Réseau de Chauffage urbain,Gaz naturel,VMC SF Auto réglable de 2001 à 2012,279.2,51,120071,67293.9,210501.8,,8173
2268E2645698H,2022-11-08,dpe maison individuelle,F,maison,avant 1948,H1b,68356,,,2,,Fioul domestique,Fioul domestique,VMC SF Auto réglable avant 1982,303.5,90,3920.7,248.5,4628,164,
2228E3231267Q,2022-12-09,dpe maison individuelle,E,maison,1948-1974,H1a,28061,,1,1,1,Gaz naturel,Gaz naturel,Ventilation par entrées d'air hautes et basses,289.3,63,1219,248,1564,67.6,
2234E3091673W,2022-12-20,dpe immeuble collectif,D,immeuble,avant 1948,H3,34032,,3,,1,Gaz naturel,Gaz naturel,Ventilation mécanique sur conduit existant à partir de 2013,197.6,40,5311.8,751.5,6729.8,,490
2292E2025246R,2022-08-31,dpe appartement généré à partir des données DPE immeuble,B,appartement,après 2021,H1a,92036,T5,8,1,57,Réseau de Chauffage urbain,Réseau de Chauffage urbain,VMC SF Hygro B après 2012,94.2,10.2,144.3,143.3,356.9,43.8,3625
2293E1977407T,2022-09-01,dpe appartement individuel,C,appartement,1948-1974,H1a,93047,,,1,1,Électricité,Électricité,VMC SF Auto réglable après 2012,188.5,7,326.9,268,625,33.4,
2257E1590483R,2022-07-12,dpe appartement individuel,E,appartement,avant 1948,H1b,57672,,,1,1,Gaz naturel,Gaz naturel,Ventilation naturelle par conduit,247.4,54,1454.6,166.4,1745.4,89.3,
