numero_dpe,date_etablissement_dpe,methode_application_dpe,etiquette_dpe,type_batiment,periode_construction,zone_climatique,code_insee_ban,typologie_logement,nombre_niveau_immeuble,nombre_niveau_logement,nombre_appartement,type_energie_principale_chauffage,type_energie_principale_ecs,type_ventilation,conso_5_usages_par_m2_ep,emission_ges_5_usages_par_m2,cout_chauffage,cout_ecs,cout_total_5_usages,surface_habitable_logement,surface_habitable_immeuble
2204E1751638X,2022-08-01,dpe appartement individuel,C,appartement,1978-1982,H2d,04094,,,1,1,Électricité,Électricité,VMC SF Auto réglable avant 1982,187.1,7,239.6,246.7,540.8,28,
2235E1672142O,2022-07-21,dpe maison individuelle,F,maison,avant 1948,H2a,35093,,,4,,Gaz naturel,Gaz naturel,Ventilation par ouverture des fenêtres,336.7,71.5,3963,483,4621,192.5,
2278E2453681K,2022-10-04,dpe maison individuelle,E,maison,avant 1948,H1a,78420,,,3,,Gaz naturel,Gaz naturel,Ventilation par entrées d'air hautes et basses,265.4,58.1,1942,200,2335,115,
2233E2265814A,2022-09-30,dpe appartement individuel,D,appartement,1948-1974,H2c,33063,,,1,1,Électricité,Électricité,Ventilation par ouverture des fenêtres,248.6,9,355.5,259.2,624.1,25.3,
2275E2409979L,2022-10-16,dpe appartement individuel,G,appartement,avant 1948,H1a,75118,,,1,1,Gaz naturel,Électricité,Ventilation par ouverture des fenêtres,505.3,95,896.2,361,1305.6,35.1,1019
2249E2856875T,2022-11-29,dpe appartement généré à partir des données DPE immeuble,E,appartement,1948-1974,H2b,49331,,7,1,74,Gaz naturel,Gaz naturel,VMC SF Hygro B avant  2001,302.4,64,720.8,411.7,1264.6,65,5317
2217E1757004U,2022-08-01,dpe maison individuelle,D,maison,1948-1974,H1a,17248,,,1,,Fioul domestique,Électricité,Ventilation par ouverture des fenêtres,238.5,45,1487,400.3,1978.8,107.2,
2268E2045654R,2022-09-09,dpe appartement individuel,D,appartement,1948-1974,H1b,68224,,,1,1,Gaz naturel,Gaz naturel,Ventilation par ouverture des fenêtres,187.1,40,697.3,168.8,947.6,54.9,
2240E1758993E,2022-08-01,dpe maison individuelle,B,maison,avant 1948,H2c,40292,,,2,,Électricité,Électricité,VMC SF Hygro B après 2012,93.2,3,698.8,421.8,1291.4,155,
2235E1531973L,2022-07-05,dpe appartement individuel,C,appartement,2006-2012,H2a,35297,,,1,1,Électricité,Électricité,VMC SF Hygro B de 2001 à 2012,120.1,4,238,377,690.3,59.2,
2235E2221131N,2022-09-27,dpe maison individuelle,F,maison,avant 1948,H2a,35093,,,2,,Gaz naturel,Gaz naturel,Ventilation naturelle par conduit,341.6,75,2257.7,286.1,2712.4,106.9,
2210E2198852R,2022-09-23,dpe appartement individuel,D,appartement,1948-1974,H1b,10387,,,1,144,Gaz naturel,Gaz naturel,Ventilation par entrées d'air hautes et basses,213,46.6,665,207,957,61,2000
2217E2080072M,2022-09-09,dpe maison individuelle,C,maison,2006-2012,H2b,17386,,,1,,Électricité,Électricité,VMC SF Hygro B de 2001 à 2012,165.5,6.1,821,365,1293,98.6,
2292E2135680D,2022-09-19,dpe appartement individuel,D,appartement,1948-1974,H1a,92040,,,1,1,Gaz naturel,Gaz naturel,Ventilation mécanique sur conduit existant avant 2013,176.5,34,525.1,142.9,956.3,70.5,881
2287E2220649Z,2022-09-27,dpe maison individuelle,C,maison,1948-1974,H1c,87059,,,2,,Gaz naturel,Gaz naturel,VMC SF Auto réglable de 1982 à 2000,139.2,21,761.6,268.6,1308.5,116,
2235E2863470W,2022-11-29,dpe appartement individuel,C,appartement,2013-2021,H2a,35152,,,1,1,Gaz naturel,Gaz naturel,VMC SF Hygro B après 2012,97.2,18,230.4,153.4,479,42.7,3981
2226E1911125W,2022-08-25,dpe appartement individuel,C,appartement,avant 1948,H2d,26362,,,1,1,Électricité,Électricité,VMC SF Hygro B après 2012,162.8,6,174.8,189.8,423.1,22.7,
2256E1865822P,2022-08-18,dpe maison individuelle,C,maison,1975-1977,H2a,56008,,,2,,Électricité,Électricité,VMC SF Auto réglable après 2012,170,6,1758.5,385.1,2241.3,152.5,
2262E2289011I,2022-10-04,dpe appartement individuel,D,appartement,1948-1974,H1a,62193,,,1,1,Réseau de Chauffage urbain,Gaz naturel,Ventilation naturelle par conduit,181.6,29,849.8,247.3,1167.6,75,3384
2259E3175041H,2022-12-28,dpe appartement individuel,C,appartement,2001-2005,H1a,59239,,,4,1,Gaz naturel,Gaz naturel,VMC SF Auto réglable de 2001 à 2012,106,20,408.5,188.5,770.3,66.1,500
2262E3010023O,2022-12-12,dpe appartement généré à partir des données DPE immeuble,D,appartement,1978-1982,H1a,62160,,5,1,58,Gaz naturel,Gaz naturel,Ventilation naturelle par conduit avec entrées d'air hygro,138.9,30,671.8,184,942.2,73,4688
2277E2819962C,2022-11-18,dpe appartement généré à partir des données DPE immeuble,C,appartement,1989-2000,H1a,77390,T4,6,1,18,Gaz naturel,Gaz naturel,VMC SF Hygro A après 2012,97.7,20,245.7,389.5,771.5,81,1171.2
2216E2328279W,2022-10-07,dpe appartement individuel,C,appartement,avant 1948,H2b,16015,,,1,,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,157.9,5.8,298,340,712,46.8,
2275E2550469X,2022-10-18,dpe appartement individuel,F,appartement,1948-1974,H1a,75115,,,1,24,Fioul domestique,Fioul domestique,Ventilation par entrées d'air hautes et basses,265.8,84.3,27506,6669,35013,1440,1440
2238E2401150L,2022-10-14,dpe appartement individuel,B,appartement,2006-2012,H1c,38185,,7,7,30,Réseau de Chauffage urbain,Réseau de Chauffage urbain,VMC SF Hygro B de 2001 à 2012,96.3,9.5,304,229,750,85,2486
2242E1526181Y,2022-07-05,dpe appartement généré à partir des données DPE immeuble,D,appartement,1948-1974,H1c,42218,,6,1,22,Gaz naturel,Électricité,VMC SF Auto réglable de 2001 à 2012,237.2,40,1050.4,564.8,1813.6,74,1455
