numero_dpe,date_etablissement_dpe,methode_application_dpe,etiquette_dpe,type_batiment,periode_construction,zone_climatique,code_insee_ban,typologie_logement,nombre_niveau_immeuble,nombre_niveau_logement,nombre_appartement,type_energie_principale_chauffage,type_energie_principale_ecs,type_ventilation,conso_5_usages_par_m2_ep,emission_ges_5_usages_par_m2,cout_chauffage,cout_ecs,cout_total_5_usages,surface_habitable_logement,surface_habitable_immeuble
2179E0136595S,2021-07-01,dpe maison individuelle,D,maison,2006-2012,H2b,79191,,,1,,Électricité,Électricité,VMC SF Hygro B de 2001 à 2012,54.9,1.6,331,44,637,109.9,
2157E0741481S,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,5,5,50,Gaz naturel,Non affecté,,318.1,70.9,1094.7,222.3,1381.7,63,3060
2117E0042625C,2021-07-01,dpe maison individuelle,D,maison,1989-2000,H2b,17385,,,1,,Électricité,Non affecté,,215.3,8.3,776,380,1315,48.2,
2150E0745411P,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50525,,1,1,1,Électricité,Non affecté,,142.8,5,673,116,922,70,70
2162E0018102Q,2021-07-01,dpe maison individuelle,D,maison,1948-1974,H1a,62705,,,2,,Gaz naturel,Non affecté,,196.8,29.9,1395,501,2142,110,
2191E0014014N,2021-07-01,dpe maison individuelle,E,maison,1948-1974,,91477,,5,5,1,GPL,Non affecté,,238.2,54.4,1513,235,2117,62.8,62.8
2159E0107559E,2021-07-01,dpe appartement individuel,F,appartement,avant 1948,H1a,59014,,,1,,Électricité,Non affecté,,570.7,22.3,599,277,882,11.8,
2186E0018670K,2021-07-01,dpe maison individuelle,D,maison,1975-1977,H2b,86103,,,1,,Électricité,Non affecté,,214.5,8.5,2515,489,3184,127.1,
2150E0744338I,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50359,,1,1,1,Électricité,Non affecté,,111.2,4,590,124,851,82,82
2150E0774280Y,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50188,,1,1,1,Électricité,Non affecté,,136.5,5,732,121,1015,81.4,81.4
2150E0774460W,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50359,,1,1,1,Électricité,Non affecté,,119.5,4,461,113,733,64,64
2157E0741394J,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,4,4,16,Gaz naturel,Non affecté,,374.6,83.9,1093.1,201.8,1343.6,52,904
2150E0774542A,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50532,,1,1,1,Électricité,Non affecté,,115.4,4,299,93,555,47,47
2140E0004096C,2021-07-01,dpe maison individuelle,D,maison,avant 1948,H2c,40197,,,2,,Fioul domestique,Non affecté,,182.2,45.4,2161,686,2930,163.7,
2180E0130375N,2021-07-01,dpe maison individuelle,A,maison,1989-2000,H1a,80507,,,2,,Électricité,Non affecté,,41.5,1.6,457,87,632,116,
2150E0774659N,2021-07-01,dpe maison individuelle,D,maison,1983-1988,,50601,,1,1,1,Électricité,Non affecté,,203.5,8,727,93,970,52,52
2122E0182491T,2021-07-01,dpe maison individuelle,G,maison,avant 1948,H2a,22070,,,2,,Électricité,Électricité,VMC SF Auto réglable après 2012,528.5,17.6,2654,418,3172,74.8,
2157E0741718V,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,5,5,50,Gaz naturel,Non affecté,,318.1,70.9,938.3,190.5,1184.3,54,3060
2162E0121344M,2021-07-01,dpe appartement individuel,E,appartement,avant 1948,H1a,62041,,,1,,Électricité,Non affecté,,291.8,11.4,788,381,1184,33.2,
2135E0036734F,2021-07-01,dpe maison individuelle,D,maison,1978-1982,,35360,,1,1,1,Gaz naturel,Non affecté,,189.6,40,562,183,833,30.4,30.4
2159E1037453I,2021-07-01,dpe appartement individuel,E,appartement,avant 1948,H1a,59014,,,1,,Électricité,Électricité,Ventilation naturelle par conduit,324.1,12.6,523,264,796,26,
2177E1040429M,2021-07-01,dpe appartement généré à partir des données DPE immeuble,C,appartement,1948-1974,H1a,77464,T1,6,1,38,Gaz naturel,Gaz naturel,VMC SF Hygro B avant  2001,88.4,16.8,101.8,245.5,482.9,52.2,2391.6
2109E0181343C,2021-07-01,dpe maison individuelle,E,maison,1948-1974,H2c,09306,,,3,,Électricité,Non affecté,,315.8,11.8,3745,517,4399,161.7,
2189E0051660J,2021-07-01,dpe maison individuelle,E,maison,1948-1974,H1b,89179,,,3,,Fioul domestique,Non affecté,,185.1,57.9,4978,471,5720,334.9,
2184E0011099D,2021-07-01,dpe maison individuelle,F,maison,avant 1948,H2d,84084,,,1,,Électricité,Non affecté,,388.5,15.5,1376,302,1763,38.8,
2124E0808470Y,2021-07-01,dpe maison individuelle,D,maison,avant 1948,,24323,,1,1,1,GPL,Non affecté,,208.7,36,2667,272,3164,146,146
2150E0739664O,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50365,,1,1,1,Électricité,Non affecté,,128.8,4,449,94,681,65.8,65.8
2180E0835065Z,2021-07-01,dpe appartement individuel,G,appartement,avant 1948,,80021,,1,1,1,Électricité,Non affecté,,608.6,19,518,222,782,16,16
2150E0892714C,2021-07-01,dpe maison individuelle,D,maison,1983-1988,,50601,,1,1,1,Électricité,Non affecté,,195.8,6,724,112,992,67,67
2144E0434962A,2021-07-01,dpe appartement individuel,D,appartement,1989-2000,,44109,,2,2,1,Électricité,Non affecté,,189.4,7,650,442,1228,51.3,51.3
2177E1040435S,2021-07-01,dpe appartement généré à partir des données DPE immeuble,C,appartement,1948-1974,H1a,77464,T1,6,1,38,Gaz naturel,Gaz naturel,VMC SF Hygro B avant  2001,88.4,16.8,92.6,223.4,439.5,47.5,2391.6
2169E0000235S,2021-07-01,dpe maison individuelle,E,maison,1975-1977,H1c,69296,,,1,,Électricité,Non affecté,,291.2,9.6,2309.3,416.3,2874.9,,
2194E1048617B,2021-07-01,dpe appartement individuel,D,appartement,avant 1948,H1a,94080,,,1,23,Gaz naturel,Gaz naturel,Ventilation par entrées d'air hautes et basses,207.6,45.6,881,139,1114,81.8,3000
2182E1032747F,2021-07-01,dpe maison individuelle,E,maison,avant 1948,H2c,82121,,,2,,Électricité,Électricité,VMC SF Hygro B après 2012,294,11.8,1774,340,2164,85,
2150E0015517T,2021-07-01,dpe maison individuelle,F,maison,avant 1948,H2a,50197,,,1,,Électricité,Non affecté,,417.8,16.8,2076,310,2560,57.6,
2150E0774529N,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50525,,1,1,1,Électricité,Non affecté,,132.5,5,590,117,863,70,70
2150E0745197J,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50639,,1,1,1,Électricité,Non affecté,,123.4,4,528,115,778,66.4,66.4
2135E0036748T,2021-07-01,dpe maison individuelle,D,maison,1978-1982,,35360,,1,1,1,Gaz naturel,Non affecté,,198.3,41.6,504,179,770,26.2,26.2
