numero_dpe,date_etablissement_dpe,methode_application_dpe,etiquette_dpe,type_batiment,periode_construction,zone_climatique,code_insee_ban,typologie_logement,nombre_niveau_immeuble,nombre_niveau_logement,nombre_appartement,type_energie_principale_chauffage,type_energie_principale_ecs,type_ventilation,conso_5_usages_par_m2_ep,emission_ges_5_usages_par_m2,cout_chauffage,cout_ecs,cout_total_5_usages,surface_habitable_logement,surface_habitable_immeuble
2131E0000980X,2021-07-01,dpe maison individuelle,C,maison,1989-2000,H2c,31169,,,1,,Électricité,Non affecté,,147.7,20.6,1178,279,1970,,
2167E0610739O,2021-07-01,dpe appartement individuel,F,appartement,1948-1974,,67482,,1,1,1,Électricité,Non affecté,,345.5,11,1177,357,1553,61.8,61.8
2150E0745235V,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50639,,1,1,1,Électricité,Non affecté,,113.5,4,585,123,846,79.6,79.6
2167E0050657Y,2021-07-01,dpe appartement individuel,E,appartement,avant 1948,H1b,67482,,,1,,Fioul domestique,Non affecté,,207.7,52,1107,573,1720,78,
2176E1027125T,2021-07-01,dpe appartement individuel,G,appartement,avant 1948,H1a,76447,,,1,,Électricité,Électricité,Ventilation par entrées d'air hautes et basses,502,16,1105,249,1366,37,
2128E1031238C,2021-07-01,dpe maison individuelle,E,maison,1978-1982,H1a,28167,,,1,,Électricité,Électricité,VMC SF Auto réglable avant 1982,314,10,1293,411,1828,90,
2150E0739669T,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50365,,1,1,1,Électricité,Non affecté,,128.8,4,449,94,681,65.8,65.8
2132E0013702G,2021-07-01,dpe maison individuelle,D,maison,1948-1974,H2c,32159,,,2,,Électricité,Non affecté,,201.3,16,3036,278,3375,144.8,
2175E0014903C,2021-07-01,dpe appartement individuel,E,appartement,1948-1974,H1a,75112,,,1,,Électricité,Non affecté,,308.8,12.2,1242,405,1666,45.6,
2194E0134060U,2021-07-01,dpe appartement individuel,C,appartement,2006-2012,H1a,94028,,,3,,Électricité,Non affecté,,198.8,7.2,170,403,620,20.9,
2150E0745082Y,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50393,,1,1,1,Électricité,Non affecté,,134.2,5,722,120,979,79.7,79.7
2134E0004149X,2021-07-01,dpe appartement individuel,C,appartement,1989-2000,H3,34172,,,1,,Gaz naturel,Non affecté,,214.8,29.4,90,211,607,18.3,
2150E0893426M,2021-07-01,dpe maison individuelle,D,maison,1983-1988,,50591,,1,1,1,Électricité,Non affecté,,180.4,5,434,92,681,47,47
2167E1043715M,2021-07-01,dpe appartement individuel,D,appartement,avant 1948,H1b,67482,,,1,,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,205.7,8,827,343,1269,69,
2129E0048971Q,2021-07-01,dpe maison individuelle,B,maison,2006-2012,H2a,29170,T1,1,2,1,Électricité,Électricité,VMC SF Auto réglable de 2001 à 2012,92.6,4,1086,653,1943,177,177
2150E0031585T,2021-07-01,dpe maison individuelle,E,maison,1948-1974,H2a,50188,,,3,,Fioul domestique,Non affecté,,274.8,60.2,4360,783,5252,250,
2129E0292847M,2021-07-01,dpe appartement individuel,C,appartement,1948-1974,H2a,29105,,,1,,Gaz naturel,Non affecté,,167.9,19.3,519,546,1233,51.3,
2131E0000571E,2021-07-01,dpe appartement individuel,C,appartement,2006-2012,H2c,31433,,,1,1,Électricité,Non affecté,,120.7,3.5,208.9,548,1054.4,,
2182E0013946O,2021-07-01,dpe maison individuelle,D,maison,1948-1974,H2c,82037,,,1,,Gaz naturel,Non affecté,,191.5,41.2,2223,211,2649,149.5,
2174E1029068K,2021-07-01,dpe appartement individuel,D,appartement,1989-2000,H1c,74012,,,5,,Gaz naturel,Gaz naturel,Ventilation naturelle par conduit,221.7,48.5,1091,204,1400,76.6,
2135E0002021C,2021-07-01,dpe appartement individuel,E,appartement,1978-1982,H2a,35238,,,1,1,Électricité,Non affecté,,314.2,10,379.6,214,639.6,,
2150E0891747X,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50365,,1,1,1,Électricité,Non affecté,,139.2,5,613,90,858,66.2,66.2
2154E0001280I,2021-07-01,dpe appartement individuel,D,appartement,1989-2000,H1b,54395,,,1,1,Électricité,Non affecté,,235,7.5,872.9,451.4,1443.9,,
2150E0743520W,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50237,,1,1,1,Électricité,Non affecté,,136.8,5,586,111,829,64.7,64.7
2150E0774676E,2021-07-01,dpe maison individuelle,D,maison,1983-1988,,50601,,1,1,1,Électricité,Non affecté,,195.8,6,724,112,992,67,67
2150E1044148M,2021-07-01,dpe maison individuelle,B,maison,2001-2005,H2a,50109,,1,1,1,Électricité,Électricité,VMC SF Auto réglable de 2001 à 2012,109.2,4,441,93,696,65.8,
2157E0742230N,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,5,5,50,Gaz naturel,Non affecté,,318.1,70.9,1094.7,222.3,1381.7,63,3060
2112E1027930G,2021-07-01,dpe maison individuelle,E,maison,avant 1948,H2c,12057,,,3,,Fioul domestique,Fioul domestique,Ventilation par ouverture des fenêtres,224.6,69.4,3639,255,4215,200,
2167E0017588B,2021-07-01,dpe maison individuelle,E,maison,1978-1982,,67034,,1,1,1,Fioul domestique,Non affecté,,201,51.1,1046,229,1815,91.4,91.4
2119E0034297W,2021-07-01,dpe maison individuelle,D,maison,1989-2000,H1c,19258,,,2,,Fioul domestique,Non affecté,,204.3,46.5,1064,214,1466,90,
2194E0001083H,2021-07-01,dpe appartement individuel,G,appartement,avant 1948,H1a,94080,,,1,1,Électricité,Non affecté,,444.7,14.5,912.2,353.5,1278.1,,
2157E0741876X,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,5,5,50,Gaz naturel,Non affecté,,318.1,70.9,1094.7,222.3,1381.7,63,3060
2138E1044400S,2021-07-01,dpe appartement individuel,D,appartement,1989-2000,H1c,38397,,,1,,Gaz naturel,Gaz naturel,VMC SF Auto réglable de 1982 à 2000,169,34.2,607,190,991,58.8,
2108E0881919H,2021-07-01,dpe maison individuelle,E,maison,avant 1948,H1b,08013,,,3,,Électricité,Fioul domestique,VMC SF Auto réglable de 2001 à 2012,196.6,56.7,1263,288,1841,98,
2150E0774557P,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50532,,1,1,1,Électricité,Non affecté,,131,5,495,108,760,61,61
2159E0000677I,2021-07-01,dpe appartement individuel,D,appartement,2006-2012,H1a,59183,,,1,1,Électricité,Non affecté,,190.6,5.8,200.8,255.1,497.2,,
2150E0774513X,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50463,,1,1,1,Électricité,Non affecté,,133.1,5,580,112,816,65.2,65.2
2142E0000104Q,2021-07-01,dpe maison individuelle,E,maison,avant 1948,H1c,42026,,,1,,Électricité,Non affecté,,281.3,58.6,2659.9,184.6,3303.3,,
2151E0034433I,2021-07-01,dpe maison individuelle,F,maison,1948-1974,,51454,,1,1,1,Électricité,Non affecté,,412.7,13.4,932,363,1370,31.2,31.2
2161E0031302H,2021-07-01,dpe appartement individuel,D,appartement,1948-1974,H1a,61483,,,2,,Électricité,Non affecté,,243.4,8.8,187,445,684,21,
2128E0031647H,2021-07-01,dpe maison individuelle,D,maison,1978-1982,H1a,28085,,,3,,Électricité,Gaz naturel,VMC SF Auto réglable avant 1982,171.4,33.4,1240,308,1785,103,
2177E1040439W,2021-07-01,dpe appartement généré à partir des données DPE immeuble,C,appartement,1948-1974,H1a,77464,T1,6,1,38,Gaz naturel,Gaz naturel,VMC SF Hygro B avant  2001,88.4,16.8,135.4,326.7,642.7,69.5,2391.6
2107E0001038F,2021-07-01,dpe maison individuelle,C,maison,2001-2005,H2c,07330,,,2,,Électricité,Non affecté,,176.3,6.5,653,446,1687,84.2,
2177E1040428L,2021-07-01,dpe appartement généré à partir des données DPE immeuble,C,appartement,1948-1974,H1a,77464,T1,6,1,38,Gaz naturel,Gaz naturel,VMC SF Hygro B avant  2001,88.4,16.8,97.3,234.8,461.9,50,2391.6
2150E0739832A,2021-07-01,dpe maison individuelle,C,maison,1978-1982,,50159,,1,1,1,Électricité,Non affecté,,131.2,5,782,99,1050,88,88
2186E0017567Z,2021-07-01,dpe appartement individuel,C,appartement,1948-1974,H2b,86194,,,3,,Électricité,Non affecté,,116.3,4.1,155,405,644,43,
2159E0001357M,2021-07-01,dpe maison individuelle,G,maison,avant 1948,H1a,59232,,,1,,Électricité,Non affecté,,628.3,21.2,3919.7,410.7,4360.5,,
2183E0204772B,2021-07-01,dpe appartement individuel,C,appartement,avant 1948,,83090,,1,1,1,Électricité,Non affecté,,119.6,4.4,240,425,686,39.5,39.5
2150E0892922C,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50393,,1,1,1,Électricité,Non affecté,,137.6,5,723,120,1003,79.7,79.7
2163E0024838T,2021-07-01,dpe maison individuelle,D,maison,2001-2005,,63075,,1,1,1,Gaz naturel,Non affecté,,183.7,28.3,971,446,1583,71.5,71.5
2113E0000994T,2021-07-01,dpe appartement individuel,E,appartement,avant 1948,H3,13001,,,1,1,Électricité,Non affecté,,268.9,8.7,540.4,198.8,751.4,,
2114E0000628S,2021-07-01,dpe appartement individuel,D,appartement,1978-1982,H1a,14118,,,1,1,Électricité,Non affecté,,184.7,5.6,239.1,352.4,673.9,,
2133E0007124H,2021-07-01,dpe appartement individuel,C,appartement,1948-1974,H2c,33063,,,1,,Électricité,Non affecté,,161.5,6.2,495,327,842,42.6,
2106E0042948C,2021-07-01,dpe appartement individuel,C,appartement,avant 1948,H3,06088,,,3,,Électricité,Non affecté,,237.8,8.6,181,374,593,17.6,
2159E0000508V,2021-07-01,dpe maison individuelle,F,maison,avant 1948,H1a,59486,,,1,,Électricité,Non affecté,,349.7,10.4,575.5,75.1,755,,
2117E0014169Q,2021-07-01,dpe maison individuelle,C,maison,2013-2021,H2b,17425,,,1,,Bois – Granulés (pellets) ou briquettes,Non affecté,,122.2,4.3,549,526,1428,109,
2150E0745556E,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50532,,1,1,1,Électricité,Non affecté,,132.3,4,299,94,532,47,47
2135E0001147M,2021-07-01,dpe appartement individuel,E,appartement,1948-1974,H2a,35238,,,1,1,Électricité,Non affecté,,322.2,10,341.1,350.9,736.8,,
2150E0893043T,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50237,,1,1,1,Électricité,Non affecté,,135.9,5,693,120,973,78,78
2144E0571250W,2021-07-01,dpe appartement individuel,D,appartement,1989-2000,,44109,,1,1,1,Électricité,Non affecté,,191.8,7,633,418,1191,48.5,48.5
2192E0000789X,2021-07-01,dpe appartement individuel,G,appartement,avant 1948,H1a,92026,,,1,1,Électricité,Non affecté,,662.5,22.2,1814.4,277.6,2105.8,,
2151E0026946J,2021-07-01,dpe maison individuelle,E,maison,avant 1948,,51454,,1,1,1,Gaz naturel,Non affecté,,274,56.8,907,206,1295,40.7,40.7
2134E0100167X,2021-07-01,dpe maison individuelle,E,maison,1948-1974,H3,34192,,,1,,Électricité,Gaz naturel,Ventilation naturelle par conduit,47.8,1.5,173,75,281,46.7,
2105E0001767E,2021-07-01,dpe appartement individuel,E,appartement,1948-1974,H1c,05061,,,1,1,Électricité,Non affecté,,292.1,64,1613.6,211.3,1948.6,,
2177E1040438V,2021-07-01,dpe appartement généré à partir des données DPE immeuble,C,appartement,1948-1974,H1a,77464,T1,6,1,38,Gaz naturel,Gaz naturel,VMC SF Hygro B avant  2001,88.4,16.8,97,234,460.3,49.8,2391.6
2175E0001823A,2021-07-01,dpe appartement individuel,C,appartement,1989-2000,H2d,75109,,,1,1,Électricité,Non affecté,,132.3,25.3,734.5,413.3,1504.7,,
2194E0134095D,2021-07-01,dpe appartement individuel,C,appartement,2006-2012,H1a,94028,,,3,,Électricité,Non affecté,,198.8,7.2,170,403,620,20.9,
2157E0741418H,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,4,4,16,Gaz naturel,Non affecté,,374.6,83.9,1282.3,236.8,1576.2,61,904
2185E0000654L,2021-07-01,dpe maison individuelle,B,maison,avant 1948,H2b,85216,,,1,,Électricité,Non affecté,,93.3,2.8,595.5,176.8,1014.1,,
2169E0000676R,2021-07-01,dpe appartement individuel,E,appartement,avant 1948,H1c,69382,,,1,1,Électricité,Non affecté,,264.9,57.8,2521.1,207.4,2951.5,,
2102E0670266O,2021-07-01,dpe maison individuelle,F,maison,1948-1974,H1a,02360,,,1,,Électricité,Fioul domestique,Ventilation par entrées d'air hautes et basses,114.9,3.7,529,85,771,85.6,
2150E0774422K,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50363,,1,1,1,Électricité,Non affecté,,143.8,5,626,113,893,67.1,67.1
2144E0149058S,2021-07-01,dpe maison individuelle,C,maison,2001-2005,H2b,44120,,,2,,Gaz naturel,Non affecté,,137.2,22.4,1033,315,1596,122,
2176E0032896E,2021-07-01,dpe appartement individuel,G,appartement,1948-1974,H1a,76351,,,1,,Gaz naturel,Non affecté,,445.2,99.1,2362,182,2642,65,
2141E0000172F,2021-07-01,dpe appartement individuel,E,appartement,avant 1948,H2b,41136,,,1,1,Électricité,Non affecté,,268,8.7,883.9,260.1,1250,,
2120E0019439L,2021-07-01,dpe appartement individuel,C,appartement,1948-1974,H3,2A004,,,1,,Électricité,Non affecté,,118.4,4.5,678,559,1296,91,
2150E0745089F,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50393,,2,2,1,Électricité,Non affecté,,128.5,5,559,114,807,66.7,66.7
2144E0018371H,2021-07-01,dpe appartement individuel,B,appartement,2001-2005,H2b,44184,,,5,,Électricité,Non affecté,,98.3,3.5,181,482,766,64,
2176E0031478Q,2021-07-01,dpe maison individuelle,D,maison,2013-2021,H1a,76146,,,1,,Électricité,Électricité,VMC SF Hygro B après 2012,192.3,6.1,1151,546,1767,103,
2177E0001376X,2021-07-01,dpe maison individuelle,E,maison,2006-2012,H1a,77108,,,1,,Électricité,Non affecté,,279.7,9.1,1200.6,235.8,1579.8,,
2157E0741458V,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,4,4,16,Gaz naturel,Non affecté,,374.6,83.9,1282.3,236.8,1576.2,61,904
2121E0014336F,2021-07-01,dpe appartement individuel,D,appartement,1983-1988,H1c,21278,,,1,,Réseau de Chauffage urbain,Non affecté,,183,2.4,497,486,1009,56,
2195E0031152V,2021-07-01,dpe maison individuelle,E,maison,1948-1974,,95052,,1,1,1,Gaz naturel,Non affecté,,277.5,41.8,1508,332,1877,76,76
2157E0741825Y,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,5,5,50,Gaz naturel,Non affecté,,318.1,70.9,938.3,190.5,1184.3,54,3060
2124E1039038Y,2021-07-01,dpe maison individuelle,F,maison,1948-1974,H2c,24538,,,2,,Électricité,Électricité,VMC SF Hygro A avant 2001,334.3,13.6,2348,224,2674,93,
2176E0008794E,2021-07-01,dpe appartement individuel,D,appartement,1948-1974,H1a,76165,,,6,,Gaz naturel,Non affecté,,199.3,1.7,939,477,1454,80.6,
2135E0001428H,2021-07-01,dpe maison individuelle,F,maison,1948-1974,H2a,35024,,,1,,Électricité,Non affecté,,293.2,90.9,1822.2,171.4,2162.5,,
2144E0015464M,2021-07-01,dpe maison individuelle,F,maison,1948-1974,H2b,44162,,,1,,Gaz naturel,Non affecté,,367.2,78,2197,200,2690,78,
2177E1040433Q,2021-07-01,dpe appartement généré à partir des données DPE immeuble,C,appartement,1948-1974,H1a,77464,T1,6,1,38,Gaz naturel,Gaz naturel,VMC SF Hygro B avant  2001,88.4,16.8,101.8,245.5,482.9,52.2,2391.6
2108E0845080K,2021-07-01,dpe maison individuelle,D,maison,1989-2000,H1b,08013,,,2,,Électricité,Électricité,VMC SF Auto réglable de 2001 à 2012,92.9,2.8,309,115,623,91.4,
2119E0001551K,2021-07-01,dpe maison individuelle,C,maison,2001-2005,H1c,19072,,,1,,Électricité,Non affecté,,111.2,3.3,359.6,478.9,1013,,
2188E0000084Q,2021-07-01,dpe appartement individuel,D,appartement,1948-1974,H1b,88413,,,1,1,Électricité,Non affecté,,234.9,7.7,862,285.7,1168.5,,
2149E0000240D,2021-07-01,dpe maison individuelle,D,maison,1989-2000,H2b,49050,,,1,,Électricité,Non affecté,,201.3,6.4,1316.3,444.7,1923.8,,
2135E0036716N,2021-07-01,dpe maison individuelle,D,maison,1978-1982,,35360,,1,1,1,Gaz naturel,Non affecté,,232.1,49.6,671,167,927,30,30
2169E0000739C,2021-07-01,dpe appartement individuel,G,appartement,avant 1948,H1c,69383,,,1,1,Électricité,Non affecté,,476,15.5,935.1,319.2,1316.7,,
2161E0010545Y,2021-07-01,dpe maison individuelle,D,maison,1948-1974,H1a,61149,,,2,,Électricité,Non affecté,,231.8,9.1,1530,417,2097,83,
2144E0001296O,2021-07-01,dpe appartement individuel,C,appartement,1989-2000,H2b,44109,,,1,1,Électricité,Non affecté,,142.4,4.3,374.5,513.1,1018.8,,
2153E0001217W,2021-07-01,dpe maison individuelle,D,maison,2006-2012,H2b,53216,,,1,,Électricité,Non affecté,,192.9,6.3,1155.1,269.1,1551.9,,
2157E0064918B,2021-07-01,dpe maison individuelle,E,maison,1948-1974,,57227,,1,1,1,Réseau de Chauffage urbain,Non affecté,,190,61.4,924,304,1748,99.3,99.3
2144E0001361B,2021-07-01,dpe maison individuelle,B,maison,2013-2021,H2b,44035,,,1,,Électricité,Non affecté,,59.3,10.8,628.1,38.2,872.6,,
2159E0000204D,2021-07-01,dpe appartement individuel,D,appartement,2006-2012,H1a,59606,,,1,1,Électricité,Non affecté,,223.8,6.9,519.3,472.8,1080.2,,
2101E0018185M,2021-07-01,dpe maison individuelle,D,maison,1948-1974,H1c,01354,,,1,,Gaz naturel,Non affecté,,210.9,34.2,1970,340,2408,150.9,
2140E0179837J,2021-07-01,dpe maison individuelle,D,maison,2001-2005,H2c,40184,T1,1,1,1,Électricité,Électricité,VMC SF Auto réglable de 2001 à 2012,195.7,8,1088,407,1644,77.2,77.2
2150E0774660O,2021-07-01,dpe maison individuelle,D,maison,1983-1988,,50601,,1,1,1,Électricité,Non affecté,,203.5,8,727,93,970,52,52
2146E0952466C,2021-07-01,dpe maison individuelle,E,maison,avant 1948,H2c,46103,,,5,,Électricité,Électricité,Ventilation par ouverture des fenêtres,299.1,11.2,1517,344,1889,84.3,
2107E0684499E,2021-07-01,dpe maison individuelle,F,maison,avant 1948,H2d,07314,,,2,,Électricité,Électricité,Ventilation par ouverture des fenêtres,244.8,7.3,408,235,758,58,
2150E0893350O,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50359,,1,1,1,Électricité,Non affecté,,117.1,4,481,113,720,64,64
2159E0010559K,2021-07-01,dpe maison individuelle,D,maison,1948-1974,H1a,59526,,,2,,Gaz naturel,Non affecté,,180.1,37.5,1037,183,1395,70,
2163E0023504L,2021-07-01,dpe maison individuelle,C,maison,2006-2012,,63113,,1,1,1,Gaz naturel,Non affecté,,117.9,22.9,540,271,997,62.8,62.8
2164E0018373D,2021-07-01,dpe appartement individuel,E,appartement,avant 1948,H2c,64499,,,1,,Électricité,Non affecté,,281.1,11.1,1864,464,2462,82.4,
2149E0025735S,2021-07-01,dpe maison individuelle,C,maison,avant 1948,H2b,49307,,,2,,Électricité,Non affecté,,135.1,5.3,2401,671,3188,195,
2133E0010173O,2021-07-01,dpe maison individuelle,E,maison,1975-1977,H2c,33243,,,1,,Électricité,Non affecté,,307.5,12.1,952,273,1317,33,
2119E0001356X,2021-07-01,dpe maison individuelle,E,maison,1948-1974,H1c,19121,,,1,,Électricité,Non affecté,,237.9,69.5,1388.8,180.8,1898.9,,
2118E0415042W,2021-07-01,dpe appartement individuel,C,appartement,1989-2000,H2b,18033,T1,1,1,1,Gaz naturel,Gaz naturel,VMC SF Hygro B avant  2001,106.2,21,774,225,1237,88.3,88.3
2135E0001957Q,2021-07-01,dpe maison individuelle,E,maison,avant 1948,H2a,35051,,,1,,Électricité,Non affecté,,224.3,67.8,2974.9,171.7,3550.6,,
2175E0001956D,2021-07-01,dpe appartement individuel,G,appartement,avant 1948,H1a,75111,,,1,1,Électricité,Non affecté,,713.5,23.9,2044.1,294.8,2353.2,,
2131E0001070J,2021-07-01,dpe appartement individuel,B,appartement,1989-2000,H2c,31011,,,1,1,Électricité,Non affecté,,109.5,3.5,603.7,146.1,870.1,,
2150E0774546E,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50532,,1,1,1,Électricité,Non affecté,,120.1,4,319,92,573,47,47
2131E0000175Y,2021-07-01,dpe maison individuelle,C,maison,1948-1974,H2c,31555,,,1,,Électricité,Non affecté,,140.5,29,1435.1,208.7,1949.6,,
2145E1046817Y,2021-07-01,dpe appartement individuel,A,appartement,1989-2000,H1a,45338,,1,1,1,Électricité,Électricité,VMC DF collective avec échangeur à partir de 2013,66.2,2.5,233.5,120.3,445.5,60.5,334.1
2160E0001648S,2021-07-01,dpe maison individuelle,E,maison,1948-1974,H1a,60238,,,1,,Électricité,Non affecté,,255.1,55.9,1775.3,196.2,2104.9,,
2150E0774504O,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50639,,1,1,1,Électricité,Non affecté,,117,4,585,122,867,79.6,79.6
2150E0745573V,2021-07-01,dpe maison individuelle,E,maison,1983-1988,,50532,,1,1,1,Électricité,Non affecté,,258,8,939,98,1172,61,61
2150E1044154S,2021-07-01,dpe maison individuelle,B,maison,2001-2005,H2a,50109,,1,1,1,Électricité,Électricité,VMC SF Auto réglable de 2001 à 2012,106.7,4,535,99,797,79.1,
2178E0024913F,2021-07-01,dpe appartement individuel,D,appartement,1948-1974,H1a,78551,,,11,,Gaz naturel,Non affecté,,242.5,45.9,2026,788,3727,162.5,
2157E0121780B,2021-07-01,dpe maison individuelle,E,maison,1948-1974,H1b,57038,,,1,,Électricité,Gaz naturel,Ventilation par ouverture des fenêtres,296.6,64.8,1648,240,2028,70.1,
2150E0744344O,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50359,,1,1,1,Électricité,Non affecté,,119,4,482,113,730,64,64
2150E0774242M,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50365,,1,1,1,Électricité,Non affecté,,119.3,3,481,100,744,79.1,79.1
2164E0023995J,2021-07-01,dpe maison individuelle,E,maison,avant 1948,H2c,64341,,,2,,Propane,Non affecté,,281.8,59.3,7923,401,8616,228.5,
2129E0267244T,2021-07-01,dpe appartement individuel,C,appartement,1948-1974,H2a,29105,,,1,,Gaz naturel,Non affecté,,140.2,16.9,698,587,1500,76.8,
2184E0009240Q,2021-07-01,dpe maison individuelle,F,maison,avant 1948,H2d,84084,,,1,,Électricité,Non affecté,,388.5,15.5,1376,302,1763,38.8,
2157E0741463A,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,4,4,16,Gaz naturel,Non affecté,,374.6,83.9,1093.1,201.8,1343.6,52,904
2150E0745730W,2021-07-01,dpe maison individuelle,D,maison,1983-1988,,50601,,1,1,1,Électricité,Non affecté,,194.2,6,739,112,984,67,67
2153E0000433S,2021-07-01,dpe appartement individuel,C,appartement,1989-2000,H2b,53130,,,1,1,Électricité,Non affecté,,171.7,5.2,245.2,414.8,739,,
2106E0055863V,2021-07-01,dpe appartement individuel,B,appartement,2001-2005,H3,06084,,,4,,Électricité,Non affecté,,107.4,3.9,454,542,1166,89.2,
2150E0792889R,2021-07-01,dpe maison individuelle,D,maison,1983-1988,,50592,,2,2,1,Électricité,Non affecté,,183.3,6,0,285,457,38,38
2183E0056422H,2021-07-01,dpe maison individuelle,E,maison,1989-2000,H3,,,,1,,Électricité,Électricité,Ventilation mécanique sur conduit existant avant 2013,176.7,5.3,198,399,629,32,
2167E0658553O,2021-07-01,dpe appartement individuel,D,appartement,1948-1974,H1b,67282,,,1,1,Électricité,Gaz naturel,VMC SF Hygro A après 2012,91.2,2.8,220,111,561,71.4,840
2150E0892554Y,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50463,,1,1,1,Électricité,Non affecté,,133.2,5,699,121,979,80.2,80.2
2159E0000180F,2021-07-01,dpe maison individuelle,E,maison,avant 1948,H1a,59112,,,1,,Électricité,Non affecté,,272.9,59.3,2219.6,179.4,2612.8,,
2144E0670442Y,2021-07-01,dpe maison individuelle,E,maison,1948-1974,,44109,,1,1,1,Électricité,Non affecté,,284.2,9,384,169,620,25.1,25.1
2150E0892296A,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50188,,1,1,1,Électricité,Non affecté,,136.4,5,732,121,1015,81.4,81.4
2140E0001955T,2021-07-01,dpe appartement individuel,C,appartement,2006-2012,H2c,40046,,,1,1,Électricité,Non affecté,,154.1,4.8,423.2,273.1,777.2,,
2150E0739671V,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50365,,1,1,1,Électricité,Non affecté,,114,3,475,101,716,79.1,79.1
2150E0745579B,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50532,,1,1,1,Électricité,Non affecté,,114.6,4,439,106,681,61,61
2178E0000497D,2021-07-01,dpe maison individuelle,D,maison,1948-1974,H1a,78686,,,1,,Électricité,Non affecté,,232.6,30.5,1595,607.5,2263.5,,
2150E0930235F,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50237,,1,1,1,Électricité,Non affecté,,147.6,5,641,112,909,66.6,66.6
2157E0071664N,2021-07-01,dpe maison individuelle,D,maison,1978-1982,,57660,,1,1,1,Électricité,Non affecté,,204.7,8,1194,414,1707,67,67
2167E0009508H,2021-07-01,dpe maison individuelle,E,maison,avant 1948,,67482,,1,1,1,Électricité,Non affecté,,263.6,8.1,283,319,658,22.4,22.4
2169E0000722L,2021-07-01,dpe appartement individuel,E,appartement,avant 1948,H1c,69387,,,1,1,Électricité,Non affecté,,313,10.3,815,233.2,1062.8,,
2131E0001224H,2021-07-01,dpe appartement individuel,B,appartement,1989-2000,H2c,31011,,,1,1,Électricité,Non affecté,,101.7,3.2,552.6,149,824.3,,
2175E0001816T,2021-07-01,dpe appartement individuel,C,appartement,1989-2000,H2d,75109,,,1,1,Électricité,Non affecté,,132.3,25.3,734.5,413.3,1504.7,,
2157E0741794T,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,5,5,50,Gaz naturel,Non affecté,,318.1,70.9,1094.7,222.3,1381.7,63,3060
2144E0001771V,2021-07-01,dpe appartement individuel,E,appartement,1983-1988,H2b,44109,,,1,1,Électricité,Non affecté,,257.9,52.7,920.9,193.8,1318.3,,
2150E0892417R,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50197,,1,1,1,Électricité,Non affecté,,135.9,5,530,109,795,62,62
2102E0058838C,2021-07-01,dpe maison individuelle,F,maison,1948-1974,,02290,,1,1,1,Gaz naturel,Non affecté,,376.2,84.7,1789,464,2299,66,66
2150E0774351R,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50591,,1,1,1,Électricité,Non affecté,,142.8,5,408,93,658,47,47
2150E0745577Z,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50532,,1,1,1,Électricité,Non affecté,,114.6,4,439,106,681,61,61
2150E0774412A,2021-07-01,dpe maison individuelle,D,maison,1983-1988,,50359,,1,1,1,Électricité,Non affecté,,180.5,5,434,92,681,47,47
